DMCODE,Anlage,OEFFNUNGSZEIT,DRUCKKORREKTUR_SOLL,Heizkreis11Beginn,Heizkreis11Max,Heizkreis11Ende,Heizkreis12Beginn,Heizkreis12Max,Heizkreis12Ende,Kuehlkreis2TempBeginn,Kuehlkreis9Durchfl.Max,Kuehlkreis11Durchfl.Max,Kuehlkreis15TempMax,Kuehlkreis17Durchfl.Max,Kuehlkreis22Durchfl.Max,Kuehlkreis23Durchfl.Max,Kuehlkreis27Durchfl.Ende,Kuehlkreis28Durchfl.Beginn,Thermo5Beginn
23552030260106,N35,46428,0,620.2,652.6,652.6,595,635,635,196.8,2.3,2.9,2305:12:02,3.2,0.988658009,0,0.964193548,0.02,7:20:05
23552030260106,N35,46428,0,620.2,652.6,652.6,595,635,635,196.8,2.3,2.9,2305:12:02,3.2,0.988658009,0,0.964193548,0.02,7:20:05
23552040260106,N35,227,0,642.2,642.2,525,632.2,632.2,525,280.2,62.4,4.3,2305:12:02,3.2,1.18,0.9,0.96,0.02,1233:04:07
23552050260106,N35,229,0,521.6,530.2,525,522,530.8,524.8,306.8,62.4,63,2305:12:02,34.2,0.96,0.9,0.98,0.02,1233:04:07
23552100260106,N35,195,0,521.8,529.4,524.8,522,529,524.2,343.2,61,64.1,5:43:55,35,0.94,0.9,1,0.02,1233:04:07
23552110260106,N35,188,0,522,529.4,525,521.8,529,524.6,345.6,62.4,65,5:43:55,35.5,0.96,0.9,1,0.02,1233:04:07
23552110260106,N35,188,0,522,529.4,525,521.8,529,524.6,345.6,62.4,65,5:43:55,35.5,0.96,0.9,1,0.02,1233:04:07
23552110260106,N35,188,0,522,529.4,525,521.8,529,524.6,345.6,62.4,65,5:43:55,35.5,0.96,0.9,1,0.02,1233:04:07
23552110260106,N35,188,0,522,529.4,525,521.8,529,524.6,345.6,62.4,65,5:43:55,35.5,0.96,0.9,1,0.02,1233:04:07
23552110260106,N35,188,0,522,529.4,525,521.8,529,524.6,345.6,62.4,65,5:43:55,35.5,0.96,0.9,1,0.02,1233:04:07
23552180260106,N35,169,10,521.2,529.2,524.6,521.4,529,524.2,356.6,62.4,64.3,5:43:55,35.1,0.92,0.9,0.92,0.02,6:31:02
23552220260106,N35,173,10,521.8,528.8,524.2,521.8,528.8,524.8,341.6,61.7,64.5,5:43:55,35.1,0.92,0.86,0.94,0.02,1233:04:07
23552240260106,N35,170,10,521.6,529,524.2,521.8,529,524.6,355.4,62.4,64.3,5:43:55,35.5,0.96,0.9,1,0.02,6:23:25
23552240260106,N35,170,10,521.6,529,524.2,521.8,529,524.6,355.4,62.4,64.3,5:43:55,35.5,0.96,0.9,1,0.02,6:23:25
23552240260106,N35,170,10,521.6,529,524.2,521.8,529,524.6,355.4,62.4,64.3,5:43:55,35.5,0.96,0.9,1,0.02,6:23:25
23552240260106,N35,170,10,521.6,529,524.2,521.8,529,524.6,355.4,62.4,64.3,5:43:55,35.5,0.96,0.9,1,0.02,6:23:25
23552240260106,N35,170,10,521.6,529,524.2,521.8,529,524.6,355.4,62.4,64.3,5:43:55,35.5,0.96,0.9,1,0.02,6:23:25
23552280260106,N35,178,14,521.6,529,525,522,529,524.2,357.6,62.4,65.6,5:43:55,35.1,0.94,0.9,1,0.02,6:31:02
23552300260106,N35,223,14,522.2,529.2,524.8,522.2,529,524.6,354.4,62.4,64.3,5:43:55,35.5,0.94,0.9,0.96,0.02,6:23:25
23552300260106,N35,223,14,522.2,529.2,524.8,522.2,529,524.6,354.4,62.4,64.3,5:43:55,35.5,0.94,0.9,0.96,0.02,6:23:25
23552300260106,N35,223,14,522.2,529.2,524.8,522.2,529,524.6,354.4,62.4,64.3,5:43:55,35.5,0.94,0.9,0.96,0.02,6:23:25
23552300260106,N35,223,14,522.2,529.2,524.8,522.2,529,524.6,354.4,62.4,64.3,5:43:55,35.5,0.94,0.9,0.96,0.02,6:23:25
23552300260106,N35,223,14,522.2,529.2,524.8,522.2,529,524.6,354.4,62.4,64.3,5:43:55,35.5,0.94,0.9,0.96,0.02,6:23:25
23552340260106,N35,354,17,645,647.8,524.4,645.8,649.8,525,289.6,62.4,3,2305:12:02,35,1,0.9,0.94,0.02,5:59:02
23552360260106,N35,215,17,522.2,529.8,524.6,522,530,524.4,329.8,62.4,3,2305:12:02,3.1,0.94,0.9,0.92,0.02,1233:04:07
23552400260106,N35,188,17,515.6,529.6,524.6,516,529.6,524.6,337.6,61.6,63.9,5:43:55,35.4,0.9,0.86,0.9,0.02,1233:04:07
23552430260106,N35,166,17,521.8,529.6,524.8,522,529,524.6,356.6,62.3,64.3,5:43:55,35,0.94,0.9,0.82,0.02,6:31:02
23552430260106,N35,166,17,521.8,529.6,524.8,522,529,524.6,356.6,62.3,64.3,5:43:55,35,0.94,0.9,0.82,0.02,6:31:02
23552430260106,N35,166,17,521.8,529.6,524.8,522,529,524.6,356.6,62.3,64.3,5:43:55,35,0.94,0.9,0.82,0.02,6:31:02
