DMCODE,GiessenErgebnis,Anlage,OEFFNUNGSZEIT,DRUCKKORREKTUR_SOLL,Heizkreis11Beginn,Heizkreis11Max,Heizkreis11Ende,Heizkreis12Beginn,Heizkreis12Max,Heizkreis12Ende,Kuehlkreis2TempBeginn,Kuehlkreis9Durchfl.Max,Kuehlkreis11Durchfl.Max,Kuehlkreis15TempMax,Kuehlkreis17Durchfl.Max,Kuehlkreis22Durchfl.Max,Kuehlkreis23Durchfl.Max,Kuehlkreis27Durchfl.Ende,Kuehlkreis28Durchfl.Beginn,Thermo5Beginn
23355200230106,0,N33,725,0,599.8,602.2,578.6,600,603,571.2,401.2,59.2,3.2,421.6,32.7,0.94,0,0.64,0.020761905,391.02
23355250230106,0,N33,225,0,604.8,604.8,412,605.2,605.2,402.8,414.4,55.4,3.3,409,31.3,1.04,0.94,0.68,0.020761905,391.02
23355270230106,1,N33,3616,0,600.2,603.2,601,600,604.2,600.6,358.2,3.4,3.3,373.4,33.3,0.98,0.9,0.64,0.020761905,440.5
23355270230106,1,N33,3616,0,600.2,603.2,601,600,604.2,600.6,358.2,3.4,3.3,373.4,33.3,0.98,0.9,0.64,0.020761905,440.5
23355270230106,1,N33,3616,0,600.2,603.2,601,600,604.2,600.6,358.2,3.4,3.3,373.4,33.3,0.98,0.9,0.64,0.020761905,440.5
23355270230106,1,N33,3616,0,600.2,603.2,601,600,604.2,600.6,358.2,3.4,3.3,373.4,33.3,0.98,0.9,0.64,0.020761905,440.5
23355270230106,1,N33,3616,0,600.2,603.2,601,600,604.2,600.6,358.2,3.4,3.3,373.4,33.3,0.98,0.9,0.64,0.020761905,440.5
23355280230106,0,N33,269,0,599.8,615.4,615.4,599.6,614,614,396.4,58.4,70.7,389.8,33.1,1.02,0.96,0.68,0,391.02
23355310230106,0,N33,263,0,602.4,602.4,490.8,601,603.6,477.8,409.6,58.9,72,402.4,32.7,1,0.94,0.66,0.020761905,391.02
23355320230106,1,N33,280,0,601,602.2,481.2,599.8,603.8,469.2,408.4,57.9,69.4,399.2,32.2,1,0.96,0.68,0.020761905,391.02
23355320230106,1,N33,280,0,601,602.2,481.2,599.8,603.8,469.2,408.4,57.9,69.4,399.2,32.2,1,0.96,0.68,0.020761905,391.02
23355320230106,1,N33,280,0,601,602.2,481.2,599.8,603.8,469.2,408.4,57.9,69.4,399.2,32.2,1,0.96,0.68,0.020761905,391.02
23355320230106,1,N33,280,0,601,602.2,481.2,599.8,603.8,469.2,408.4,57.9,69.4,399.2,32.2,1,0.96,0.68,0.020761905,391.02
23355320230106,1,N33,280,0,601,602.2,481.2,599.8,603.8,469.2,408.4,57.9,69.4,399.2,32.2,1,0.96,0.68,0.020761905,391.02
23355360230106,0,N33,233,0,607.2,607.2,412.6,609.6,609.6,404.2,415,57.9,71.9,409.6,32.3,1,0,0.68,0.020761905,391.02
23355470230106,0,N33,1028,0,599.8,612.8,612.8,600,609.4,609.4,386.6,57.9,3.3,400.2,32.2,1.04,0,0.68,0.020761905,391.02
23355530230106,0,N33,213,0,619.6,619.6,414.4,628,628,404.8,422.6,58.5,71.2,414.4,32.3,1.02,0.94,0.64,0,391.02
23355620230106,0,N33,262,0,602.8,602.8,413.6,601.8,602.8,406.8,411.8,57.9,3.3,412.2,32.2,1,0.92,0.66,0.020761905,391.02
23355650230106,0,N33,230,0,614,614,413.6,619.4,619.4,404.8,418.8,55.3,69.9,415,31.4,0.96,0.92,0.62,0.020761905,391.02
23355660230106,0,N33,216,0,616.8,616.8,413.8,623.2,623.2,404.8,420.6,57.9,72.8,415.6,32.3,0.96,0.9,0.62,0.020761905,391.02
23355690230106,0,N33,232,0,612.4,612.4,414.2,616.8,616.8,405.4,419.4,59.9,3.3,411.8,31.4,1.02,0.96,0.66,0.020761905,391.02
23355770230106,0,N33,178,0,622,622,414.8,630,630,406.6,426.6,57.9,71.5,413.8,32.4,1.02,0.94,0.66,0.020761905,391.02
23355840230106,0,N33,220,0,617,617,415.8,623.6,623.6,406.8,422.6,55.9,70.7,414.4,32.2,0.96,0,0.62,0.020761905,391.02
23355900230106,0,N33,245,0,601,602,415.8,599.8,602.8,409.8,412.2,56.6,71.3,406.8,31.4,1,0.96,0.66,0,391.02
23355920230106,0,N33,232,0,611.6,611.6,415,615.8,615.8,406.6,419.4,57.9,70.7,412.8,32.3,1.04,0.92,0.66,0.020761905,391.02
23356010230106,0,N33,209,0,620.4,620.4,415.2,628,628,406.2,424.2,57.9,71.4,412.8,32,1,0.9,0.64,0.020761905,391.02
23356040230106,0,N33,1576,0,600,621.6,621.6,600.2,624.6,624.6,384.8,57.9,3.3,394.8,32.7,1.06,0.98,0.68,0.020761905,391.02
23356060230106,0,N33,191,0,614.2,614.2,414.4,619.2,619.2,406.8,420.6,58.5,72,411.2,32.3,1.02,0.92,0.66,0.020761905,391.02
23356110230106,0,N33,348,0,601.6,602.2,415.8,600,603.2,407.2,409.6,57.9,71.4,409,32.2,1.1,0,0.66,0.020761905,391.02
23356170230106,0,N33,1117,0,600,602.2,415.8,599.8,602.8,412.2,403,3.3,3.3,400.2,32.6,1.04,0,0.66,0.020761905,461.1
23356190230106,0,N33,224,0,615.4,615.4,415.2,621,621,406.8,419.8,57.9,72,413.2,32.2,1.06,0.94,0.66,0.020761905,391.02
23356200230106,0,N33,198,0,621.6,621.6,415,629.4,629.4,405.8,424.2,58.5,71.4,414.4,32.2,1.02,0,0.64,0,391.02
23356240230106,0,N33,210,0,623.8,623.8,415.6,632,632,405.8,426.6,57.9,72.1,415.6,32.6,1,0.94,0.66,0.020761905,391.02
23356450240106,1,N33,227,0,626,626,417,634.8,634.8,407.6,427,54,68.1,415,32.2,1.02,0.96,0.66,0.020761905,440.5
23356450240106,1,N33,227,0,626,626,417,634.8,634.8,407.6,427,54,68.1,415,32.2,1.02,0.96,0.66,0.020761905,440.5
23356450240106,1,N33,227,0,626,626,417,634.8,634.8,407.6,427,54,68.1,415,32.2,1.02,0.96,0.66,0.020761905,440.5
23356450240106,1,N33,227,0,626,626,417,634.8,634.8,407.6,427,54,68.1,415,32.2,1.02,0.96,0.66,0.020761905,440.5
